country_full_name,World Port Index Number,Region Name,name,Alternate Port Name,country,World Water Body,Liquified Natural Gas Terminal Depth (m),Harbor Size,Harbor_size_nr,Harbor Type,Harbor Use,y,x,Total_Harbor_size_nr,fraction
Albania,41670.0,Albania -- 41650,Durres,Durazzo,AL,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,41.316667,19.45,1,1.0
Algeria,45635.0,Algeria -- 45470,Arzew El Djedid, ,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,35.816667,-0.25,14,0.07142857142857142
Algeria,45515.0,Algeria -- 45470,Port Methanier, ,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,36.883333,6.95,14,0.07142857142857142
Algeria,45630.0,Algeria -- 45470,Arzew, ,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,35.85,-0.3,14,0.07142857142857142
Algeria,45570.0,Algeria -- 45470,Alger,Algiers,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,36.766667,3.066667,14,0.21428571428571427
Algeria,45490.0,Algeria -- 45470,Annaba,Bona; Bone,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,36.916667,7.766667,14,0.14285714285714285
Algeria,45510.0,Algeria -- 45470,Skikda,Phillippeville,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,36.883333,6.916667,14,0.07142857142857142
Algeria,45640.0,Algeria -- 45470,Oran, ,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,35.7,-0.633333,14,0.21428571428571427
Algeria,45550.0,Algeria -- 45470,Bejaia,Bougie,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,36.75,5.083333,14,0.07142857142857142
Algeria,45650.0,Algeria -- 45470,Mers El Kebir, ,DZ,Mediterranean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,35.733333,-0.7,14,0.07142857142857142
American Samoa,55680.0,American Samoa -- 55675,Pago Pago Harbor, ,AS,South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-14.283333,-170.666667,1,1.0
Angola,46590.0,Angola -- 46540,Lobito, ,AO,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-12.333333,13.566667,8,0.125
Angola,46610.0,Angola -- 46540,Namibe,Mocamedes,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-15.2,12.15,8,0.125
Angola,46490.0,Angola -- 46478,Cabinda,Kabinda,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-5.533333,12.2,8,0.125
Angola,46485.0,Angola -- 46478,Takula Terminal, ,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-5.216667,11.783333,8,0.125
Angola,46547.0,Angola -- 46540,Palanca Terminal, ,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-6.95,12.4,8,0.125
Angola,46487.0,Angola -- 46478,Malongo Oil Terminal, ,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-5.433333,12.083333,8,0.125
Angola,46553.0,Angola -- 46540,Estrela Oil Field, ,AO,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-6.45,12.4,8,0.125
Angola,46560.0,Angola -- 46540,Luanda, ,AO,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-8.8,13.25,8,0.125
Antarctica,63130.0,Antarctica -- 63060,Mcmurdo Station, ,AQ,Ross Sea; South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-77.85,166.65,1,1.0
Antigua and Barbuda,11430.0,Antigua and Barbuda -- 11426,St Johns, ,AG,Caribbean Sea; North Atlantic Ocean,0.0,Medium,2,Open Roadstead,Unknown,17.116667,-61.85,2,1.0
Argentina,13900.0,Argentina -- 13310,Puerto Madryn,Port Madryn,AR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-42.766667,-65.033333,17,0.058823529411764705
Argentina,13780.0,Argentina -- 13310,Mar Del Plata,Puerto Mar Del Plata,AR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-38.033333,-57.533333,17,0.058823529411764705
Argentina,13770.0,Argentina -- 13310,La Plata,Eva Peron,AR,Rio de la Plata; South Atlantic Ocean,0.0,Medium,2,River (Basins),Unknown,-34.833333,-57.883333,17,0.11764705882352941
Argentina,13760.0,Argentina -- 13310,Buenos Aires, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,-34.6,-58.366667,17,0.17647058823529413
Argentina,13810.0,Argentina -- 13310,Puerto Belgrano,Punta Alta,AR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-38.883333,-62.1,17,0.058823529411764705
Argentina,13740.0,Argentina -- 13310,Concepcion Del Uruguay, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-32.483333,-58.233333,17,0.058823529411764705
Argentina,13560.0,Argentina -- 13310,Santa Fe, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-31.65,-60.7,17,0.058823529411764705
Argentina,13980.0,Argentina -- 13310,Ushuaia, ,AR,Drake Passage; South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-54.816667,-68.3,17,0.058823529411764705
Argentina,13965.0,Argentina -- 13310,San Sebastian Bay, ,AR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-53.166667,-68.5,17,0.058823529411764705
Argentina,13630.0,Argentina -- 13310,Rosario, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,-32.95,-60.633333,17,0.11764705882352941
Argentina,13820.0,Argentina -- 13310,Puerto Ingeniero White, ,AR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-38.8,-62.266667,17,0.058823529411764705
Argentina,13700.0,Argentina -- 13310,Zarate, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-34.083333,-59.033333,17,0.058823529411764705
Argentina,13710.0,Argentina -- 13310,Campana, ,AR,Rio de la Plata; South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-34.15,-58.966667,17,0.058823529411764705
Aruba,11830.0,Aruba -- 11825,Sint Nicolaas Baai,Sint Nicolaashaven; St Nicolass,AW,Caribbean Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,12.433333,-69.916667,1,1.0
Australia,54880.0,Tasmania -- 54700,Burnie, ,AU,Bass Strait; South Pacific Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-41.05,145.95,54,0.018518518518518517
Australia,53520.0,Australia -- 53290,Ballina, ,AU,Tasman Sea; South Pacific Ocean,0.0,Small,1,River (Natural),Unknown,-28.866667,153.566667,54,0.018518518518518517
Australia,54943.0,Tasmania -- 54700,Beauty Point, ,AU,Bass Strait; South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-41.15,146.816667,54,0.018518518518518517
Australia,54920.0,Tasmania -- 54700,Devonport, ,AU,Bass Strait; South Pacific Ocean,0.0,Small,1,River (Basins),Unknown,-41.183333,146.366667,54,0.018518518518518517
Australia,54325.0,Australia -- 53290,Port Bonython,Stony Point,AU,Spencer Gulf; Indian Ocean,0.0,Small,1,Open Roadstead,Unknown,-33.016667,137.766667,54,0.018518518518518517
Australia,54290.0,Australia -- 53290,Port Pirie, ,AU,Spencer Gulf; Indian Ocean,0.0,Small,1,River (Natural),Unknown,-33.183333,138.016667,54,0.018518518518518517
Australia,54470.0,Australia -- 53290,Albany,Princess Royal Harbor,AU,Indian Ocean,0.0,Small,1,Coastal (Natural),Unknown,-35.033333,117.883333,54,0.018518518518518517
Australia,53490.0,Australia -- 53290,Brisbane, ,AU,South Pacific Ocean,0.0,Large,3,River (Natural),Unknown,-27.466667,153.033333,54,0.05555555555555555
Australia,54970.0,Tasmania -- 54700,Launceston, ,AU,Bass Strait; South Pacific Ocean,0.0,Small,1,River (Natural),Unknown,-41.45,147.116667,54,0.018518518518518517
Australia,54140.0,Australia -- 53290,Portland, ,AU,Indian Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-38.333333,141.6,54,0.018518518518518517
Australia,54940.0,Tasmania -- 54700,Port Dalrymple, ,AU,Bass Strait; South Pacific Ocean,0.0,Medium,2,Coastal (Natural),Unknown,-41.133333,146.833333,54,0.037037037037037035
